City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
1,Jamestown,US,77.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Boa Vista,BR,80.26,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
7,Rikitea,PF,74.1,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Eberbach,DE,75.54,overcast clouds,49.4694,8.9928,Altes Badhaus
13,Linhares,BR,80.01,clear sky,-19.3911,-40.0722,Hotel Conceição
16,Seoni Malwa,IN,76.42,overcast clouds,22.45,77.4667,hotel naman residency
20,Ajdabiya,LY,81.28,clear sky,30.7554,20.2263,Almadina Hotel
21,Atuona,PF,77.29,scattered clouds,-9.8,-139.0333,Villa Enata
23,Aksay,RU,77.25,broken clouds,47.26,39.87,Chernaya Zhemchuzhina
33,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
34,General Cepeda,MX,84.07,scattered clouds,25.3833,-101.45,Hacienda Los Jose
36,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
38,Port Blair,IN,81.91,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
39,Bethel,US,87.37,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
45,Castro,BR,71.8,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
46,Victoria,HK,86.95,scattered clouds,22.2855,114.1577,Mini Central
47,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Malanje,AO,72.86,overcast clouds,-9.5402,16.341,Hotel Ginga
55,Monkey Bay,MW,74.14,scattered clouds,-14.0728,34.9201,Mufasa Eco Lodge
58,Bandarbeyla,SO,76.96,broken clouds,9.4942,50.8122,JABIR HOTEL
61,Touros,BR,81.32,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
62,Westport,US,88.16,overcast clouds,41.1415,-73.3579,The Westport Inn
63,Cicevac,RS,71.2,light rain,43.7188,21.4408,Хотел Морава
66,Kasangulu,CD,79.9,broken clouds,-4.5911,15.1708,Hôtel le Relais
67,Kieta,PG,78.08,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
69,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
71,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,Ranong,TH,78.94,broken clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
78,Lagoa,PT,73.33,broken clouds,39.05,-27.9833,Casa Das Faias
82,Vallenar,CL,70.99,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
84,Tonj,SS,71.33,light rain,7.2737,28.6822,Lakan Hotel
88,Katsuura,JP,79.21,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
93,Rock Sound,BS,81.97,broken clouds,24.9,-76.2,Pink Corral Bay Property
105,Praia,CV,81.64,scattered clouds,14.9215,-23.5087,LT Aparthotel
108,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
114,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
115,El Vigia,VE,86.97,broken clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
116,Guhagar,IN,79.02,overcast clouds,17.4842,73.1929,Hotel Seawinds
117,Pueblo,US,89.44,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
118,Illertissen,DE,73.63,scattered clouds,48.2234,10.1035,Hotel und Restaurant Dornweiler Hof
119,Nabire,ID,75.85,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
124,Erenhot,CN,74.82,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
127,Sao Bras De Alportel,PT,81.28,clear sky,37.1531,-7.8875,Casa Kalu
128,Butaritari,KI,81.37,light rain,3.0707,172.7902,Isles Sunset Lodge
132,Abonnema,NG,75.51,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
133,Sur,OM,82.42,few clouds,22.5667,59.5289,Sur Plaza Hotel
134,Olkhovatka,RU,72.81,overcast clouds,50.2831,39.2872,Gostinnyy Dvorik
136,Faanui,PF,77.99,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
138,Praia Da Vitoria,PT,78.76,broken clouds,38.7333,-27.0667,Hotel Branco I
140,Bay Roberts,CA,73.15,overcast clouds,47.5999,-53.2648,Stonewall Inn
142,Kavieng,PG,82.27,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
143,Torbay,CA,72.37,broken clouds,47.6666,-52.7314,Gallows Cove
147,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
148,Ugoofaaru,MV,82.09,broken clouds,5.6667,73.0,Ungoofaaru Inn
150,Broome,US,85.01,clear sky,42.2506,-75.833,Chenango Valley State Park
152,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
154,Corralillo,CU,87.66,broken clouds,22.9819,-80.5856,Hostal De Pedri
158,Banda Aceh,ID,78.46,heavy intensity rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
160,Rosarito,MX,86.63,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
161,Bougouni,ML,83.48,overcast clouds,11.417,-7.479,Non Stop
164,Asau,RO,74.32,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
165,Utica,US,81.91,overcast clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
170,Cayenne,GF,84.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
171,Lorengau,PG,82.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
